Probability;Radius [mm];Diameter [mm];Equivalent diameter [mm];Center x [vox];Center y [vox];Center z [vox];Volume [mm³];Voxel;Surface [mm²];Classification;Gap (sphere) [mm];Compactness;Sphericity;Pos. x [vox];Pos. y [vox];Pos. z [vox];Projected size x [mm];Projected size y [mm];Projected size z [mm];PCA deviation 1 [mm];PCA deviation 2 [mm];PCA deviation 3 [mm];PCA max. deviation ratio [%];PCA min. deviation ratio [%];Min. gray value;Max. gray value;Mean gray value;Deviation of gray values;Label;Min. thickness [mm];Max. thickness [mm];Mean thickness [mm];Relative diameter;Cut surface [mm²];Min. edge distance (inside) [mm];Min. edge distance (outside) [mm];Max. edge distance (cut) [mm];Projected area (yz-plane) [mm²];Projected area (xz-plane) [mm²];Projected area (xy-plane) [mm²];Description;Image;Focused image;Captures;Tolerance status
23,01;0,224;0,448;0,198;1304;798;313;0,004;48471;0,380;;-0,167;0,09;0,32;1312;777;322;0,307;0,438;0,223;0,076;0,049;0,040;34,01;17,95;1128;7140;4502;1543;102;;;;;;;;;0,050;0,039;0,060;;Off;Off;0;No tolerance
20,76;0,071;0,143;0,095;1760;2245;2365;0,000;5352;0,048;;0,053;0,29;0,59;1767;2246;2368;0,123;0,096;0,123;0,025;0,022;0,020;34,40;27,36;1145;7498;4479;1499;40175;;;;;;;;;0,007;0,009;0,008;;Off;Off;0;No tolerance
17,25;0,037;0,074;0,054;1633;804;286;0,000;981;0,015;;-0,011;0,39;0,62;1632;805;286;0,061;0,061;0,057;0,015;0,012;0,011;40,69;28,81;2117;7492;5377;1420;116;;;;;;;;;0,002;0,002;0,003;;Off;Off;0;No tolerance
12,63;0,035;0,071;0,050;1669;1647;354;0,000;797;0,013;;0,025;0,36;0,59;1670;1645;351;0,061;0,039;0,066;0,015;0,013;0,008;43,13;22,57;3000;7492;5579;1288;1660;;;;;;;;;0,002;0,003;0,002;;Off;Off;0;No tolerance
12,35;0,042;0,084;0,063;1201;409;324;0,000;1529;0,020;;0,000;0,41;0,61;1201;406;325;0,079;0,066;0,070;0,016;0,014;0,013;38,45;31,30;2614;7498;5426;1279;221;;;;;;;;;0,003;0,003;0,004;;Off;Off;0;No tolerance
12,27;0,041;0,082;0,053;1356;961;2496;0,000;932;0,015;;0,031;0,27;0,57;1353;961;2499;0,044;0,066;0,079;0,017;0,013;0,009;42,15;21,00;2151;7460;5484;1276;42915;;;;;;;;;0,003;0,002;0,002;;Off;Off;0;No tolerance
12,26;0,029;0,058;0,040;1342;1662;2505;0,000;410;0,009;;0,030;0,34;0,60;1341;1661;2503;0,039;0,048;0,048;0,013;0,009;0,007;46,02;24,03;3097;7479;5480;1275;44397;;;;;;;;;0,002;0,001;0,001;;Off;Off;0;No tolerance
12,05;0,034;0,068;0,052;1140;1420;395;0,000;875;0,013;;0,031;0,45;0,65;1142;1418;394;0,057;0,057;0,044;0,015;0,012;0,009;43,61;27,35;2853;7498;5361;1268;3466;;;;;;;;;0,002;0,002;0,003;;Off;Off;0;No tolerance
11,23;0,139;0,279;0,125;1082;394;348;0,001;12203;0,137;;-0,113;0,09;0,36;1083;394;332;0,245;0,197;0,175;0,054;0,033;0,024;38,83;17,14;1749;7498;5718;1238;876;;;;;;;;;0,016;0,022;0,021;;Off;Off;0;No tolerance
11,21;0,058;0,116;0,064;813;1137;381;0,000;1665;0,027;;-0,022;0,17;0,48;811;1138;382;0,074;0,079;0,101;0,028;0,017;0,007;49,13;12,37;2644;7498;5475;1237;2247;;;;;;;;;0,006;0,003;0,004;;Off;Off;0;No tolerance
10,97;0,035;0,070;0,040;2210;1651;2476;0,000;399;0,009;;0,005;0,19;0,54;2211;1651;2475;0,053;0,066;0,035;0,015;0,010;0,005;44,30;14,58;3024;7498;5624;1228;43352;;;;;;;;;0,002;0,001;0,002;;Off;Off;0;No tolerance
