number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs_stage1,params_lambda_smooth,params_lr_factor_s1,params_lr_min,params_lr_patience_stage1,params_lr_stage1,params_steps_per_epoch,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_failed_trial,system_attrs_retry_history,system_attrs_tpe:relative_params:0,state
0,-0.6467967629432678,2025-11-20 18:54:27.944904,2025-11-21 22:15:31.933886,1 days 03:21:03.988982,8,140,0.05600862834910565,0.5874639394902849,1.8405250910779405e-08,10,2.5142137050010123e-06,20,-0.5716472864151001,-0.5716472864151001,-0.6081457734107971,,,,COMPLETE
1,-0.6215972304344177,2025-11-20 18:54:28.300543,2025-11-22 18:36:12.828685,1 days 23:41:44.528142,8,125,0.15790508274963644,0.4876960219360668,9.97751476353156e-08,5,2.3333619639310245e-06,50,-0.5730630159378052,,,,,,COMPLETE
2,-0.565204918384552,2025-11-20 18:54:28.867148,2025-11-21 12:35:29.568646,0 days 17:41:00.701498,16,190,0.13271154699254073,0.33037763181219904,3.419971632682806e-08,10,9.379143799774988e-06,80,-0.565204918384552,,,,,,PRUNED
3,-0.6162711381912231,2025-11-20 18:54:31.375139,2025-11-21 12:21:45.490641,0 days 17:27:14.115502,8,90,0.2577607803610118,0.5166963180279356,4.990553720404808e-08,8,1.0473577631936695e-06,20,,,,,,,COMPLETE
4,-0.5690740346908569,2025-11-21 12:21:45.509326,2025-11-22 13:35:03.391444,1 days 01:13:17.882118,4,185,0.18743349738781956,0.37045138635937397,4.9708089200751384e-08,9,5.871489824185857e-06,80,-0.6243417859077454,-0.6271463632583618,-0.5690740346908569,,,,PRUNED
5,-0.5479133129119873,2025-11-21 12:35:29.578213,2025-11-21 15:36:43.297720,0 days 03:01:13.719507,8,40,0.09879007303711461,0.7663790089607729,2.6407726052260145e-08,9,3.5642430318191283e-06,30,-0.5479133129119873,,,,,,PRUNED
6,-0.7653027772903442,2025-11-21 15:36:55.442421,2025-11-22 23:54:08.403910,1 days 08:17:12.961489,4,175,0.2214419825955593,0.6406387591000271,1.2433598710786773e-08,3,0.0001583976935152101,50,-0.6807681918144226,-0.5973482131958008,,,,,COMPLETE
7,-0.605411171913147,2025-11-21 22:15:31.958949,2025-11-22 05:57:14.244342,0 days 07:41:42.285393,8,150,0.1919765898826405,0.6712153282869848,3.14047540007836e-08,6,5.477219142446983e-05,30,-0.6285987496376038,-0.605411171913147,,,,,PRUNED
8,-0.7778756022453308,2025-11-22 05:57:32.097726,2025-11-23 01:50:04.779775,0 days 19:52:32.682049,4,130,0.248534945996997,0.4842248628773136,2.0224966801971363e-08,9,0.0006310059128473509,40,-0.7778756022453308,-0.6462159752845764,-0.6506394147872925,,,,COMPLETE
9,-0.7725346088409424,2025-11-22 13:35:03.405000,2025-11-24 05:11:19.566903,1 days 15:36:16.161903,8,80,0.2352938082808797,0.5471835444345076,6.417881523431519e-08,9,0.0004633466168555771,70,-0.6582103967666626,-0.6808476448059082,,,,,COMPLETE
10,-0.5615881681442261,2025-11-22 18:36:12.857026,2025-11-23 12:13:06.704442,0 days 17:36:53.847416,8,105,0.11428787939606593,0.32907438185137217,1.49546534306051e-08,5,1.0879340037751658e-06,80,-0.5615881681442261,,,,,,PRUNED
11,-0.550456166267395,2025-11-22 23:54:08.423720,2025-11-23 12:31:01.640231,0 days 12:36:53.216511,16,130,0.12372221462985415,0.6582770555304063,1.405373750158875e-08,8,1.4579389756355528e-06,80,-0.550456166267395,,,,,,PRUNED
12,-0.718987762928009,2025-11-23 01:50:04.801148,2025-11-24 12:58:29.348144,1 days 11:08:24.546996,4,185,0.2895894918197403,0.31548245017187143,5.8858735192471696e-08,3,3.3420144544026415e-05,50,-0.6685293912887573,,,,,,COMPLETE
13,,2025-11-23 12:13:17.440601,2025-12-03 16:26:48.694912,10 days 04:13:31.254311,16,185,0.18678555881071318,0.46186167789630583,1.5161639493901786e-08,8,0.000620455415843385,40,-0.6666504740715027,-0.6605568528175354,-0.6863611936569214,,,"{""batch_size"": 16, ""epochs_stage1"": 185, ""lambda_smooth"": 0.18678555881071318, ""lr_factor_s1"": 0.46186167789630583, ""lr_min"": 1.5161639493901786e-08, ""lr_patience_stage1"": 8, ""lr_stage1"": 0.000620455415843385, ""steps_per_epoch"": 40}",FAIL
14,-0.6303328275680542,2025-11-23 12:31:16.334789,2025-11-23 15:31:03.883416,0 days 02:59:47.548627,4,95,0.24190747335706955,0.44963177545028,2.737809930819271e-08,10,0.0006083842566845115,20,-0.6303328275680542,,,,,"{""batch_size"": 4, ""epochs_stage1"": 95, ""lambda_smooth"": 0.24190747335706955, ""lr_factor_s1"": 0.44963177545028, ""lr_min"": 2.737809930819271e-08, ""lr_patience_stage1"": 10, ""lr_stage1"": 0.0006083842566845115, ""steps_per_epoch"": 20}",PRUNED
15,-0.7390458583831787,2025-11-23 15:31:06.469963,2025-11-24 09:30:20.668423,0 days 17:59:14.198460,4,140,0.21528560432392918,0.798788594487629,1.0059724917353955e-08,2,0.0002795400749346884,30,-0.6754622459411621,,,,,"{""batch_size"": 4, ""epochs_stage1"": 140, ""lambda_smooth"": 0.21528560432392918, ""lr_factor_s1"": 0.798788594487629, ""lr_min"": 1.0059724917353955e-08, ""lr_patience_stage1"": 2, ""lr_stage1"": 0.0002795400749346884, ""steps_per_epoch"": 30}",COMPLETE
16,-0.737646222114563,2025-11-24 05:11:19.629668,2025-11-25 16:59:38.064579,1 days 11:48:18.434911,8,70,0.2588855524749683,0.7430572410437423,7.532151851083812e-08,9,0.0007581529913138168,70,-0.6764344573020935,-0.7063666582107544,,,,"{""batch_size"": 8, ""epochs_stage1"": 70, ""lambda_smooth"": 0.2588855524749683, ""lr_factor_s1"": 0.7430572410437423, ""lr_min"": 7.532151851083812e-08, ""lr_patience_stage1"": 9, ""lr_stage1"": 0.0007581529913138168, ""steps_per_epoch"": 70}",COMPLETE
17,-0.6535744667053223,2025-11-24 09:30:20.688400,2025-11-24 16:05:25.261220,0 days 06:35:04.572820,8,115,0.16615466845631602,0.5116552999302746,7.762220645242044e-08,10,6.920628617330181e-05,80,-0.6535744667053223,,,,,"{""batch_size"": 8, ""epochs_stage1"": 115, ""lambda_smooth"": 0.16615466845631602, ""lr_factor_s1"": 0.5116552999302746, ""lr_min"": 7.762220645242044e-08, ""lr_patience_stage1"": 10, ""lr_stage1"": 6.920628617330181e-05, ""steps_per_epoch"": 80}",PRUNED
18,-0.5813654661178589,2025-11-24 12:58:29.367938,2025-11-24 15:54:40.929068,0 days 02:56:11.561130,4,100,0.20161469858229986,0.45029182125374523,1.9038004350015808e-08,9,0.00013295911535159775,70,-0.5813654661178589,,,,,"{""batch_size"": 4, ""epochs_stage1"": 100, ""lambda_smooth"": 0.20161469858229986, ""lr_factor_s1"": 0.45029182125374523, ""lr_min"": 1.9038004350015808e-08, ""lr_patience_stage1"": 9, ""lr_stage1"": 0.00013295911535159775, ""steps_per_epoch"": 70}",PRUNED
19,-0.711025595664978,2025-11-24 15:54:52.369600,2025-11-26 10:28:45.338513,1 days 18:33:52.968913,8,130,0.2818511940057802,0.5383071094171931,1.623220871274323e-08,10,0.00011981965125794831,40,-0.67774498462677,-0.6952966451644897,-0.6834391355514526,,,"{""batch_size"": 8, ""epochs_stage1"": 130, ""lambda_smooth"": 0.2818511940057802, ""lr_factor_s1"": 0.5383071094171931, ""lr_min"": 1.623220871274323e-08, ""lr_patience_stage1"": 10, ""lr_stage1"": 0.00011981965125794831, ""steps_per_epoch"": 40}",COMPLETE
20,-0.5999065041542053,2025-11-24 16:05:26.270385,2025-11-24 21:14:47.342219,0 days 05:09:21.071834,8,105,0.2984238095147714,0.4922278511001592,5.0032487756774275e-08,9,4.005287815980068e-05,60,-0.5999065041542053,,,,,"{""batch_size"": 8, ""epochs_stage1"": 105, ""lambda_smooth"": 0.2984238095147714, ""lr_factor_s1"": 0.4922278511001592, ""lr_min"": 5.0032487756774275e-08, ""lr_patience_stage1"": 9, ""lr_stage1"": 4.005287815980068e-05, ""steps_per_epoch"": 60}",PRUNED
21,-0.7574644684791565,2025-11-24 21:14:55.245001,2025-11-26 08:24:28.428750,1 days 11:09:33.183749,4,180,0.24672752149731764,0.31204039443708464,3.360641448443094e-08,10,0.000594793710392758,50,-0.6906822323799133,,,,,"{""batch_size"": 4, ""epochs_stage1"": 180, ""lambda_smooth"": 0.24672752149731764, ""lr_factor_s1"": 0.31204039443708464, ""lr_min"": 3.360641448443094e-08, ""lr_patience_stage1"": 10, ""lr_stage1"": 0.000594793710392758, ""steps_per_epoch"": 50}",COMPLETE
22,-0.6442265510559082,2025-11-25 16:59:38.081214,2025-11-26 01:45:26.381697,0 days 08:45:48.300483,16,55,0.24337350904361407,0.6483120193713452,3.043952982456467e-08,10,0.00010464664572901002,50,-0.6442265510559082,,,,,"{""batch_size"": 16, ""epochs_stage1"": 55, ""lambda_smooth"": 0.24337350904361407, ""lr_factor_s1"": 0.6483120193713452, ""lr_min"": 3.043952982456467e-08, ""lr_patience_stage1"": 10, ""lr_stage1"": 0.00010464664572901002, ""steps_per_epoch"": 50}",PRUNED
23,-0.6158944368362427,2025-11-26 01:46:04.556410,2025-11-26 04:16:43.502946,0 days 02:30:38.946536,4,30,0.262736031531677,0.4882586430210506,5.568054915266611e-08,6,0.00027567442853375,60,-0.6158944368362427,,,,,"{""batch_size"": 4, ""epochs_stage1"": 30, ""lambda_smooth"": 0.262736031531677, ""lr_factor_s1"": 0.4882586430210506, ""lr_min"": 5.568054915266611e-08, ""lr_patience_stage1"": 6, ""lr_stage1"": 0.00027567442853375, ""steps_per_epoch"": 60}",PRUNED
